,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
0,World,507700062,817512,6236176,3348,459968341,1000840,41495545,41814,65133,800,0,0,0,All,0.16102263150797094,0.05368674649336388,0.21758888836221013
1,USA,82553058,45204,1017609,299,80355389,34592,1180060,1492,246798,3042,999047824,2986727,334495877,North America,0.054757511223872526,0.029382601765511118,0.043048761794930765
2,India,43052425,2451,522116,54,42516068,1589,14241,698,30655,372,833377052,593395,1404421106,Asia,0.005693059101781143,0.010342529246374368,0.0037374105244163216
3,Brazil,30330629,18660,662556,86,29353398,12596,314675,8318,140890,3078,63776166,296249,215278697,South America,0.0615219684365926,0.01298003489516358,0.042911556610924564
4,France,28076017,104007,144799,185,25618858,148402,2312360,1677,428423,2210,266484045,4066382,65533452,Europe,0.3704478452196407,0.1277633132825503,0.5792685997166618
5,Germany,23915437,139849,134284,390,20853100,243700,2928053,1980,283809,1594,122332384,1451739,84266089,Europe,0.5847645602294451,0.2904292395222067,1.1686511837568514
6,UK,21909509,19472,173032,646,20653583,71883,1082894,349,319717,2525,514563763,7508832,68527802,Europe,0.08887465255382948,0.3733413472652457,0.34804130595645316
7,Russia,18110861,8875,374368,197,17437610,14182,298883,2300,124007,2563,273400000,1871999,146047077,Europe,0.049003744217351125,0.05262201897598086,0.08132995290065553
8,S. Korea,16674045,90825,21667,147,0,0,0,846,324723,422,15804065,307780,51348592,Asia,0.544708857388834,0.6784511007522962,
9,Italy,15934437,75020,162264,166,14549360,59916,1222813,415,264245,2691,210506904,3490887,60301830,Europe,0.4708042085202006,0.1023024207464379,0.4118119284971985
10,Turkey,15010718,3354,98645,17,14817258,18964,94815,975,174600,1147,157823818,1835753,85972252,Asia,0.02234403444258962,0.017233514116275533,0.12798589320642187
11,Spain,11736893,0,103721,0,11220981,0,412191,345,250856,2217,471036328,10067596,46787369,Europe,0.0,0.0,0.0
12,Vietnam,10533164,12029,42991,9,9076927,8693,1413246,826,106487,435,85770895,867119,98914740,Asia,0.1142012029813644,0.02093461422158126,0.09577029759080359
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197225,2794,35716069,777414,45942138,South America,0.0,0.0,0.0
14,Netherlands,8032986,3008,22197,18,7561673,40523,449116,96,466950,1290,21107399,1226953,17203105,Europe,0.03744560241982246,0.08109203946479254,0.5358999258497426
