,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
0,World,615324011,520969,6522896,1466,594344187,640356,14456928,41005,78940,836,0,0,0,All,0.08466580056795475,0.0224746799581045,0.10774161067045147
1,USA,97340016,55398,1077477,314,93570146,109585,2692393,3513,290736,3218,1109902067,3315068,334805269,North America,0.05691184599764191,0.029142153382392386,0.1171153457428612
2,India,44513441,3384,528216,0,43936092,0,49133,698,31645,376,890299090,632930,1406631776,Asia,0.00760219817650134,0.0,0.0
3,France,34798136,33575,154611,33,34274160,19788,369365,869,530585,2357,271490188,4139547,65584518,Europe,0.0964850531074423,0.021343888856549663,0.057734456511844494
4,Brazil,34602662,11300,685179,122,33696624,21500,220859,8318,160678,3182,63776166,296146,215353593,South America,0.03265644706756954,0.017805566136732152,0.06380461140558176
5,Germany,32604993,46514,148728,230,31812300,44300,643965,1406,388693,1773,122332384,1458359,83883596,Europe,0.1426591319924528,0.15464472056371362,0.13925431358311094
6,S. Korea,24193038,93904,27593,60,22870990,95503,1294455,547,471324,538,15804065,307892,51329899,Asia,0.3881447216343809,0.2174464538107491,0.41757265426638723
7,UK,23554519,0,189026,0,23283827,4981,81666,146,343872,2760,522526476,7628357,68497907,Europe,0.0,0.0,0.02139253139099513
8,Italy,22096450,18849,176404,69,21469146,21915,450900,151,366668,2927,244375204,4055160,60262770,Europe,0.08530329532571974,0.03911475930251015,0.10207671977264489
9,Japan,20300387,78701,42985,191,19265108,111146,992294,376,161647,342,74386604,592322,125584838,Asia,0.38768226438244746,0.44434104920321044,0.5769290262997747
10,Russia,20208878,51735,385628,98,19195104,50251,628146,2300,138601,2645,273400000,1875095,145805947,Europe,0.2560013475265673,0.02541309241030216,0.26179071496564954
11,Turkey,16852382,0,101068,0,16690127,6466,61187,975,196961,1181,162743369,1902052,85561976,Asia,0.0,0.0,0.03874146673659224
12,Spain,13374116,0,113279,0,13180860,0,79977,339,286266,2425,471036328,10082298,46719142,Europe,0.0,0.0,0.0
13,Vietnam,11448034,3107,43132,0,10393632,45328,1011270,125,115691,436,85826548,867342,98953541,Asia,0.027140031205358055,0.0,0.43611318930668314
14,Australia,10122875,1871,14458,1,10019905,0,88512,62,388314,555,78634796,3016434,26068792,Australia/Oceania,0.01848289147104948,0.006916585973163646,0.0
15,Argentina,9697763,0,129830,0,9531394,2833,36539,322,210774,2822,35716069,776264,46010234,South America,0.0,0.0,0.029722829630167424
16,Netherlands,8401272,0,22620,0,8342976,0,35676,33,488121,1314,21107399,1226358,17211447,Europe,0.0,0.0,0.0
17,Iran,7540962,646,144243,22,7318111,821,78608,432,87662,1677,53905794,626645,86022837,Asia,0.008566546284147832,0.015252039960344696,0.01121874210434906
18,Mexico,7062822,2886,329811,44,6327274,2647,405737,4798,53684,2507,18299143,139091,131562772,North America,0.040861853802913344,0.013340974073029706,0.04183476169990426
19,Indonesia,6400035,2799,157828,21,6211796,3938,30411,2771,22928,565,107716925,385896,279134505,Asia,0.043734135828944684,0.013305623843677927,0.06339551395441834
20,Colombia,6304317,0,141708,0,6131248,0,31361,342,122384,2751,36413329,706880,51512762,South America,0.0,0.0,0.0
21,Poland,6227259,6134,117299,19,5335954,0,774006,2782,165005,3108,37110799,983334,37739785,Europe,0.09850240691771453,0.01619792155090836,0.0
22,Taiwan,5804343,49708,10366,37,5131907,27215,662070,0,242975,434,25092577,1050400,23888595,Asia,0.856393221420581,0.3569361373721783,0.530309687997074
