,vacname,vacnameproduct,approved_countries,trail_count,country_trail
0,COVOVAX (Novavax formulation),Serum Institute of India,6,5,3
1,Nuvaxovid,Novavax,39,21,14
2,Spikevax,Moderna,88,68,24
3,Comirnaty,Pfizer/BioNTech,149,93,30
4,Convidecia,CanSino,10,14,6
5,Jcovden,Janssen (Johnson & Johnson),113,26,25
6,Vaxzevria,Oxford/AstraZeneca,149,70,33
7,Covishield (Oxford/ AstraZeneca formulation),Serum Institute of India,49,4,1
8,Covaxin,Bharat Biotech,14,15,2
9,Covilo,Sinopharm (Beijing),93,38,16
10,CoronaVac,Sinovac,56,40,10
